HG,AG,HomeTeam,AwayTeam
0,1,Everton,West Ham
2,1,Man United,Aston Villa
3,0,Tottenham,Leeds
2,0,Crystal Palace,Sheffield United
3,3,Brighton,Wolves
0,4,West Brom,Arsenal
1,2,Newcastle,Leicester
1,3,Chelsea,Man City
1,0,Southampton,Liverpool
1,0,Sheffield United,Newcastle
0,1,Burnley,Man United
1,2,Wolves,Everton
1,0,Man City,Brighton
1,1,Tottenham,Fulham
0,0,Arsenal,Crystal Palace
2,3,Wolves,West Brom
0,1,Leeds,Brighton
1,0,West Ham,Burnley
0,1,Fulham,Chelsea
2,0,Leicester,Southampton
1,3,Sheffield United,Tottenham
0,0,Liverpool,Man United
4,0,Man City,Crystal Palace
3,0,Arsenal,Newcastle
2,1,West Ham,West Brom
2,0,Leicester,Chelsea
2,0,Man City,Aston Villa
1,2,Fulham,Man United
0,1,Liverpool,Burnley
2,0,Aston Villa,Newcastle
2,3,Crystal Palace,West Ham
1,2,Newcastle,Leeds
1,3,Southampton,Arsenal
0,5,West Brom,Man City
3,2,Burnley,Aston Villa
0,0,Chelsea,Wolves
0,0,Brighton,Fulham
1,1,Everton,Leicester
1,2,Man United,Sheffield United
1,3,Tottenham,Liverpool
0,2,Everton,Newcastle
1,0,Crystal Palace,Wolves
1,0,Man City,Sheffield United
2,2,West Brom,Fulham
0,0,Arsenal,Man United
0,1,Southampton,Aston Villa
2,0,Chelsea,Burnley
1,3,Leicester,Leeds
1,3,West Ham,Liverpool
1,0,Brighton,Tottenham
2,1,Sheffield United,West Brom
2,1,Wolves,Arsenal
9,0,Man United,Southampton
1,2,Newcastle,Crystal Palace
0,2,Burnley,Man City
0,2,Fulham,Leicester
1,2,Leeds,Everton
1,3,Aston Villa,West Ham
0,1,Liverpool,Brighton
0,1,Tottenham,Chelsea
1,0,Aston Villa,Arsenal
1,1,Burnley,Brighton
3,2,Newcastle,Southampton
0,0,Fulham,West Ham
3,3,Man United,Everton
2,0,Tottenham,West Brom
0,0,Wolves,Leicester
1,4,Liverpool,Man City
1,2,Sheffield United,Chelsea
2,0,Leeds,Crystal Palace
3,1,Leicester,Liverpool
0,3,Crystal Palace,Burnley
3,0,Man City,Tottenham
0,0,Brighton,Aston Villa
1,2,Southampton,Wolves
1,1,West Brom,Man United
4,2,Arsenal,Leeds
0,2,Everton,Fulham
3,0,West Ham,Sheffield United
2,0,Chelsea,Newcastle
1,1,Burnley,Fulham
1,3,Everton,Man City
1,0,Wolves,Leeds
1,1,Southampton,Chelsea
0,0,Burnley,West Brom
0,2,Liverpool,Everton
1,0,Fulham,Sheffield United
2,1,West Ham,Tottenham
1,2,Aston Villa,Leicester
0,1,Arsenal,Man City
3,1,Man United,Newcastle
1,2,Brighton,Crystal Palace
3,0,Leeds,Southampton
2,1,Man City,West Ham
1,0,West Brom,Brighton
0,1,Leeds,Aston Villa
1,1,Newcastle,Wolves
0,0,Crystal Palace,Fulham
1,3,Leicester,Arsenal
4,0,Tottenham,Burnley
0,0,Chelsea,Man United
0,2,Sheffield United,Liverpool
1,0,Everton,Southampton
4,1,Man City,Wolves
1,1,Burnley,Leicester
1,0,Sheffield United,Aston Villa
0,0,Crystal Palace,Man United
0,1,Fulham,Tottenham
0,1,West Brom,Everton
0,1,Liverpool,Chelsea
1,1,Burnley,Arsenal
0,2,Sheffield United,Southampton
0,0,Aston Villa,Wolves
1,2,Brighton,Leicester
0,0,West Brom,Newcastle
0,1,Liverpool,Fulham
0,2,Man City,Man United
4,1,Tottenham,Crystal Palace
2,0,Chelsea,Everton
2,0,West Ham,Leeds
5,2,Man City,Southampton
1,1,Newcastle,Aston Villa
0,0,Leeds,Chelsea
1,0,Crystal Palace,West Brom
1,2,Everton,Burnley
0,3,Fulham,Man City
1,2,Southampton,Brighton
5,0,Leicester,Sheffield United
2,1,Arsenal,Tottenham
1,0,Man United,West Ham
0,1,Wolves,Liverpool
1,2,Fulham,Leeds
3,0,Brighton,Newcastle
3,3,West Ham,Arsenal
0,2,Aston Villa,Tottenham
2,5,Chelsea,West Brom
2,1,Leeds,Sheffield United
0,2,Leicester,Man City
0,3,Arsenal,Liverpool
3,2,Southampton,Burnley
2,2,Newcastle,Tottenham
3,1,Aston Villa,Fulham
2,1,Man United,Brighton
1,1,Everton,Crystal Palace
2,3,Wolves,West Ham
0,1,Fulham,Wolves
1,2,Man City,Leeds
2,1,Liverpool,Aston Villa
1,4,Crystal Palace,Chelsea
1,2,Burnley,Newcastle
3,2,West Ham,Leicester
1,3,Tottenham,Man United
0,3,Sheffield United,Arsenal
3,0,West Brom,Southampton
0,0,Brighton,Everton
2,2,Everton,Tottenham
3,2,Newcastle,West Ham
1,0,Wolves,Sheffield United
1,1,Arsenal,Fulham
3,1,Man United,Burnley
1,1,Leeds,Liverpool
0,0,Chelsea,Brighton
2,1,Tottenham,Southampton
1,2,Aston Villa,Man City
3,0,Leicester,West Brom
0,1,Arsenal,Everton
1,1,Liverpool,Newcastle
0,1,West Ham,Chelsea
1,0,Sheffield United,Brighton
0,4,Wolves,Burnley
0,0,Leeds,Man United
2,2,Aston Villa,West Brom
2,1,Leicester,Crystal Palace
1,1,Southampton,Leicester
0,2,Crystal Palace,Man City
2,0,Brighton,Leeds
2,0,Chelsea,Fulham
1,2,Everton,Aston Villa
0,2,Newcastle,Arsenal
4,0,Tottenham,Sheffield United
1,1,West Brom,Wolves
1,2,Burnley,West Ham
2,4,Leicester,Newcastle
3,1,Leeds,Tottenham
0,2,Sheffield United,Crystal Palace
1,2,Man City,Chelsea
2,0,Liverpool,Southampton
2,1,Wolves,Brighton
1,3,Aston Villa,Man United
0,1,West Ham,Everton
3,1,Arsenal,West Brom
0,2,Fulham,Burnley
1,2,Man United,Leicester
3,1,Southampton,Crystal Palace
0,1,Chelsea,Arsenal
0,0,Aston Villa,Everton
2,4,Man United,Liverpool
3,4,Newcastle,Man City
0,4,Burnley,Leeds
3,1,Southampton,Fulham
1,1,Brighton,West Ham
3,2,Crystal Palace,Aston Villa
2,0,Tottenham,Wolves
1,2,West Brom,Liverpool
0,1,Everton,Sheffield United
1,1,Man United,Fulham
0,2,Southampton,Leeds
3,2,Brighton,Man City
2,1,Chelsea,Leicester
1,0,Everton,Wolves
1,0,Newcastle,Sheffield United
1,2,Tottenham,Aston Villa
1,3,Crystal Palace,Arsenal
0,3,Burnley,Liverpool
1,3,West Brom,West Ham
2,0,Arsenal,Brighton
2,1,Aston Villa,Chelsea
0,2,Fulham,Newcastle
3,1,Leeds,West Brom
2,4,Leicester,Tottenham
2,0,Liverpool,Crystal Palace
5,0,Man City,Everton
1,0,Sheffield United,Burnley
3,0,West Ham,Southampton
1,2,Wolves,Man United
